Gas,Source,T_K,T_C,P_bar,Sal_m,x_fresh,x_brine,T_fresh,P_fresh,dT_K,dP_pct,ks_data
CO2,Prutton & Savage 1945,374.150000,101.000000,626.188500,1.012318,0.028200,0.018600,374.150000,623.148750,0.000000,0.485437,0.178537
CO2,Prutton & Savage 1945,374.150000,101.000000,582.618750,1.012318,0.028200,0.018500,374.150000,623.148750,0.000000,6.956522,0.180850
CO2,Prutton & Savage 1945,374.150000,101.000000,506.625000,1.012318,0.026600,0.017400,374.150000,524.863500,0.000000,3.600000,0.182089
CO2,Prutton & Savage 1945,374.150000,101.000000,356.664000,1.012318,0.023100,0.015900,374.150000,329.306250,0.000000,7.670455,0.160241
CO2,Prutton & Savage 1945,374.150000,101.000000,351.597750,1.012318,0.023100,0.016200,374.150000,329.306250,0.000000,6.340058,0.152222
CO2,Prutton & Savage 1945,374.150000,101.000000,289.789500,1.012318,0.022300,0.015200,374.150000,286.749750,0.000000,1.048951,0.164436
CO2,Prutton & Savage 1945,374.150000,101.000000,289.789500,1.012318,0.022300,0.014700,374.150000,286.749750,0.000000,1.048951,0.178785
CO2,Prutton & Savage 1945,374.150000,101.000000,215.822250,1.012318,0.022100,0.014000,374.150000,202.650000,0.000000,6.103286,0.195852
CO2,Prutton & Savage 1945,374.150000,101.000000,215.822250,1.012318,0.022100,0.013500,374.150000,202.650000,0.000000,6.103286,0.211454
CO2,Prutton & Savage 1945,374.150000,101.000000,121.590000,1.012318,0.015300,0.011300,374.150000,110.444250,0.000000,9.166667,0.130012
CO2,Prutton & Savage 1945,374.150000,101.000000,121.590000,1.012318,0.015300,0.011200,374.150000,110.444250,0.000000,9.166667,0.133825
CO2,Prutton & Savage 1945,374.150000,101.000000,56.742000,1.012318,0.010800,0.008100,374.150000,57.755250,0.000000,1.785714,0.123418
CO2,Prutton & Savage 1945,374.150000,101.000000,656.586000,2.280887,0.028200,0.012300,374.150000,623.148750,0.000000,5.092593,0.157984
CO2,Prutton & Savage 1945,374.150000,101.000000,581.605500,2.280887,0.028200,0.011800,374.150000,623.148750,0.000000,7.142857,0.165886
CO2,Prutton & Savage 1945,374.150000,101.000000,573.499500,2.280887,0.028200,0.011600,374.150000,623.148750,0.000000,8.657244,0.169141
CO2,Prutton & Savage 1945,374.150000,101.000000,295.869000,2.280887,0.023300,0.009900,374.150000,324.240000,0.000000,9.589041,0.162972
CO2,Prutton & Savage 1945,374.150000,101.000000,293.842500,2.280887,0.022300,0.009700,374.150000,286.749750,0.000000,2.413793,0.158506
CO2,Prutton & Savage 1945,374.150000,101.000000,638.347500,3.898583,0.028200,0.007100,374.150000,623.148750,0.000000,2.380952,0.153643
CO2,Prutton & Savage 1945,374.150000,101.000000,531.956250,3.898583,0.027800,0.007000,374.150000,565.393500,0.000000,6.285714,0.153632
CO2,Prutton & Savage 1945,374.150000,101.000000,264.458250,3.898583,0.022300,0.005800,374.150000,286.749750,0.000000,8.429119,0.150023
CO2,Prutton & Savage 1945,374.150000,101.000000,237.100500,3.898583,0.020700,0.005400,374.150000,214.809000,0.000000,9.401709,0.149689
CO2,Truche 2015,473.150000,200.000000,29.000000,1.400000,0.002659,0.001544,473.150000,31.000000,0.000000,6.896552,0.168622
CO2,Truche 2015,523.150000,250.000000,48.000000,1.400000,0.001224,0.001141,523.150000,46.000000,0.000000,4.166667,0.021783
CO2,Truche 2015,553.150000,280.000000,68.000000,1.400000,0.000990,0.000843,553.150000,65.000000,0.000000,4.411765,0.049863
CO2,Ahmadi 2018,303.160000,30.010000,86.750000,1.400000,0.023350,0.018040,300.950000,78.370000,2.210000,9.659942,0.080036
CO2,Ahmadi 2018,303.160000,30.010000,205.190000,1.400000,0.026960,0.019130,300.950000,194.450000,2.210000,5.234173,0.106432
CO2,Ahmadi 2018,303.160000,30.010000,353.860000,1.400000,0.029600,0.020960,300.950000,347.530000,2.210000,1.788843,0.107072
CO2,Ahmadi 2018,323.200000,50.050000,388.600000,1.400000,0.027080,0.019750,322.620000,403.490000,0.580000,3.831704,0.097915
CO2,Ahmadi 2018,373.190000,100.040000,81.720000,1.400000,0.012860,0.008600,373.390000,79.410000,0.200000,2.826725,0.124816
CO2,Ahmadi 2018,373.190000,100.040000,388.080000,1.400000,0.025780,0.018770,373.390000,420.770000,0.200000,8.423521,0.098442
CO2,Ahmadi 2018,423.190000,150.040000,24.150000,1.400000,0.003270,0.002440,423.480000,26.310000,0.290000,8.944099,0.090827
CO2,Ahmadi 2018,423.190000,150.040000,54.340000,1.400000,0.006650,0.004980,423.480000,51.090000,0.290000,5.980861,0.089709
CO2,Ahmadi 2018,423.190000,150.040000,92.530000,1.400000,0.011700,0.008790,423.480000,97.720000,0.290000,5.608992,0.088712
CO2,Yan 2011,323.200000,50.050000,50.000000,1.000000,0.014730,0.011880,323.200000,50.000000,0.000000,0.000000,0.093386
CO2,Yan 2011,323.200000,50.050000,100.000000,1.000000,0.021370,0.017020,323.200000,100.000000,0.000000,0.000000,0.098845
CO2,Yan 2011,323.200000,50.050000,150.000000,1.000000,0.022060,0.018030,323.200000,150.000000,0.000000,0.000000,0.087610
CO2,Yan 2011,323.200000,50.050000,200.000000,1.000000,0.022850,0.019430,323.200000,200.000000,0.000000,0.000000,0.070413
CO2,Yan 2011,323.200000,50.050000,300.000000,1.000000,0.024920,0.020460,323.200000,300.000000,0.000000,0.000000,0.085642
CO2,Yan 2011,323.200000,50.050000,400.000000,1.000000,0.025690,0.021630,323.200000,400.000000,0.000000,0.000000,0.074708
CO2,Yan 2011,373.200000,100.050000,50.000000,1.000000,0.008260,0.007660,373.200000,50.000000,0.000000,0.000000,0.032751
CO2,Yan 2011,373.200000,100.050000,100.000000,1.000000,0.014270,0.012160,373.200000,100.000000,0.000000,0.000000,0.069490
CO2,Yan 2011,373.200000,100.050000,150.000000,1.000000,0.017950,0.014700,373.200000,150.000000,0.000000,0.000000,0.086747
CO2,Yan 2011,373.200000,100.050000,200.000000,1.000000,0.020440,0.017120,373.200000,200.000000,0.000000,0.000000,0.076977
CO2,Yan 2011,373.200000,100.050000,300.000000,1.000000,0.023140,0.018970,373.200000,300.000000,0.000000,0.000000,0.086296
CO2,Yan 2011,373.200000,100.050000,400.000000,1.000000,0.025340,0.021070,373.200000,400.000000,0.000000,0.000000,0.080142
CO2,Yan 2011,413.200000,140.050000,50.000000,1.000000,0.006770,0.005520,413.200000,50.000000,0.000000,0.000000,0.088650
CO2,Yan 2011,413.200000,140.050000,100.000000,1.000000,0.012580,0.010250,413.200000,100.000000,0.000000,0.000000,0.088957
CO2,Yan 2011,413.200000,140.050000,150.000000,1.000000,0.017170,0.014760,413.200000,150.000000,0.000000,0.000000,0.065684
CO2,Yan 2011,413.200000,140.050000,200.000000,1.000000,0.020350,0.017040,413.200000,200.000000,0.000000,0.000000,0.077095
CO2,Yan 2011,413.200000,140.050000,300.000000,1.000000,0.024660,0.021870,413.200000,300.000000,0.000000,0.000000,0.052144
CO2,Yan 2011,413.200000,140.050000,400.000000,1.000000,0.027400,0.022610,413.200000,400.000000,0.000000,0.000000,0.083450
CO2,Yan 2011,323.200000,50.050000,50.000000,5.000000,0.014730,0.006020,323.200000,50.000000,0.000000,0.000000,0.077721
CO2,Yan 2011,323.200000,50.050000,100.000000,5.000000,0.021370,0.008760,323.200000,100.000000,0.000000,0.000000,0.077460
CO2,Yan 2011,323.200000,50.050000,150.000000,5.000000,0.022060,0.009870,323.200000,150.000000,0.000000,0.000000,0.069858
CO2,Yan 2011,323.200000,50.050000,200.000000,5.000000,0.022850,0.009970,323.200000,200.000000,0.000000,0.000000,0.072038
CO2,Yan 2011,323.200000,50.050000,300.000000,5.000000,0.024920,0.010770,323.200000,300.000000,0.000000,0.000000,0.072866
CO2,Yan 2011,323.200000,50.050000,400.000000,5.000000,0.025690,0.011650,323.200000,400.000000,0.000000,0.000000,0.068688
CO2,Yan 2011,373.200000,100.050000,50.000000,5.000000,0.008260,0.003830,373.200000,50.000000,0.000000,0.000000,0.066756
CO2,Yan 2011,373.200000,100.050000,100.000000,5.000000,0.014270,0.006520,373.200000,100.000000,0.000000,0.000000,0.068035
CO2,Yan 2011,373.200000,100.050000,150.000000,5.000000,0.017950,0.008590,373.200000,150.000000,0.000000,0.000000,0.064014
CO2,Yan 2011,373.200000,100.050000,200.000000,5.000000,0.020440,0.010310,373.200000,200.000000,0.000000,0.000000,0.059444
CO2,Yan 2011,373.200000,100.050000,300.000000,5.000000,0.023140,0.011400,373.200000,300.000000,0.000000,0.000000,0.061492
CO2,Yan 2011,373.200000,100.050000,400.000000,5.000000,0.025340,0.011330,373.200000,400.000000,0.000000,0.000000,0.069915
CO2,Yan 2011,413.200000,140.050000,50.000000,5.000000,0.006770,0.003420,413.200000,50.000000,0.000000,0.000000,0.059313
CO2,Yan 2011,413.200000,140.050000,100.000000,5.000000,0.012580,0.005800,413.200000,100.000000,0.000000,0.000000,0.067251
CO2,Yan 2011,413.200000,140.050000,150.000000,5.000000,0.017170,0.008250,413.200000,150.000000,0.000000,0.000000,0.063663
CO2,Yan 2011,413.200000,140.050000,200.000000,5.000000,0.020350,0.010570,413.200000,200.000000,0.000000,0.000000,0.056898
CO2,Yan 2011,413.200000,140.050000,300.000000,5.000000,0.024660,0.011130,413.200000,300.000000,0.000000,0.000000,0.069100
CO2,Yan 2011,413.200000,140.050000,400.000000,5.000000,0.027400,0.012680,413.200000,400.000000,0.000000,0.000000,0.066926
H2S,Koschel 2013,323.100000,49.950000,17.600000,1.000000,0.017500,0.014800,323.100000,17.200000,0.000000,2.272727,0.072776
H2S,Koschel 2013,323.100000,49.950000,78.900000,1.000000,0.038800,0.033300,323.100000,78.300000,0.000000,0.760456,0.066387
H2S,Koschel 2013,323.100000,49.950000,131.800000,1.000000,0.039000,0.034400,323.100000,136.000000,0.000000,3.186646,0.054506
H2S,Koschel 2013,323.100000,49.950000,17.700000,3.000000,0.017500,0.011900,323.100000,17.200000,0.000000,2.824859,0.055830
H2S,Koschel 2013,323.100000,49.950000,78.900000,3.000000,0.038800,0.023100,323.100000,78.300000,0.000000,0.760456,0.075073
H2S,Koschel 2013,323.100000,49.950000,133.200000,3.000000,0.039000,0.025000,323.100000,136.000000,0.000000,2.102102,0.064375
H2S,Koschel 2013,323.100000,49.950000,17.700000,5.000000,0.017500,0.009700,323.100000,17.200000,0.000000,2.824859,0.051253
H2S,Koschel 2013,323.100000,49.950000,78.800000,5.000000,0.038800,0.021700,323.100000,78.300000,0.000000,0.634518,0.050474
H2S,Koschel 2013,323.100000,49.950000,128.900000,5.000000,0.039000,0.023100,323.100000,136.000000,0.000000,5.508146,0.045491
H2S,Koschel 2013,353.100000,79.950000,140.200000,1.000000,0.043800,0.037500,353.100000,140.200000,0.000000,0.000000,0.067443
H2S,Koschel 2013,353.100000,79.950000,199.200000,1.000000,0.044300,0.038100,353.100000,191.600000,0.000000,3.815261,0.065479
H2S,Koschel 2013,353.100000,79.950000,260.000000,1.000000,0.046000,0.038500,353.100000,254.500000,0.000000,2.115385,0.077297
H2S,Koschel 2013,353.100000,79.950000,311.700000,1.000000,0.047100,0.039400,353.100000,308.600000,0.000000,0.994546,0.077525
H2S,Koschel 2013,353.100000,79.950000,137.700000,3.000000,0.043800,0.026000,353.100000,140.200000,0.000000,1.815541,0.075500
H2S,Koschel 2013,353.100000,79.950000,198.700000,3.000000,0.044300,0.026500,353.100000,191.600000,0.000000,3.573226,0.074386
H2S,Koschel 2013,353.100000,79.950000,260.500000,3.000000,0.046000,0.028200,353.100000,254.500000,0.000000,2.303263,0.070836
H2S,Koschel 2013,353.100000,79.950000,309.300000,3.000000,0.047100,0.030000,353.100000,308.600000,0.000000,0.226317,0.065300
H2S,Koschel 2013,393.100000,119.950000,135.100000,1.000000,0.055400,0.046200,393.100000,135.800000,0.000000,0.518135,0.078868
H2S,Koschel 2013,393.100000,119.950000,191.800000,1.000000,0.057000,0.050000,393.100000,198.600000,0.000000,3.545360,0.056905
H2S,Koschel 2013,393.100000,119.950000,195.900000,3.000000,0.057000,0.032600,393.100000,198.600000,0.000000,1.378254,0.080886
H2S,Suleimenov 1994,428.450000,155.300000,11.960000,0.501400,0.003028,0.002723,428.550000,11.590000,0.100000,3.093645,0.091959
H2S,Suleimenov 1994,428.350000,155.200000,12.140000,0.917400,0.003028,0.002647,428.550000,11.590000,0.200000,4.530478,0.063660
H2S,Suleimenov 1994,428.450000,155.300000,12.370000,1.266100,0.003028,0.002612,428.550000,11.590000,0.100000,6.305578,0.050693
H2S,Suleimenov 1994,428.550000,155.400000,12.650000,1.564100,0.003028,0.002590,428.550000,11.590000,0.000000,8.379447,0.043383
H2S,Suleimenov 1994,428.550000,155.400000,12.920000,1.813400,0.003991,0.002598,426.750000,13.300000,1.800000,2.941176,0.102814
H2S,Suleimenov 1994,428.550000,155.400000,13.120000,2.031100,0.003991,0.002657,426.750000,13.300000,1.800000,1.371951,0.086992
H2S,Suleimenov 1994,428.450000,155.300000,13.420000,2.223500,0.003991,0.002697,426.750000,13.300000,1.700000,0.894188,0.076546
H2S,Suleimenov 1994,428.450000,155.300000,13.710000,2.390300,0.003991,0.002764,426.750000,13.300000,1.700000,2.990518,0.066746
H2S,Suleimenov 1994,428.350000,155.200000,14.050000,2.539300,0.003991,0.002835,426.750000,13.300000,1.600000,5.338078,0.058492
H2S,Suleimenov 1994,489.650000,216.500000,27.600000,0.235300,0.002475,0.002381,489.650000,27.550000,0.000000,0.181159,0.071465
H2S,Suleimenov 1994,489.650000,216.500000,27.580000,0.633600,0.002475,0.002282,489.650000,27.550000,0.000000,0.108774,0.055650
H2S,Suleimenov 1994,489.550000,216.400000,27.460000,0.963500,0.002475,0.002284,489.650000,27.550000,0.100000,0.327749,0.036200
H2S,Suleimenov 1994,489.450000,216.300000,27.430000,1.244000,0.002475,0.002279,489.650000,27.550000,0.200000,0.437477,0.028803
H2S,Suleimenov 1994,489.450000,216.300000,27.480000,1.486100,0.002475,0.002292,489.650000,27.550000,0.200000,0.254731,0.022448
H2S,Suleimenov 1994,489.550000,216.400000,27.560000,1.692500,0.002475,0.002333,489.650000,27.550000,0.100000,0.036284,0.015161
H2S,Suleimenov 1994,489.450000,216.300000,27.700000,1.878300,0.002475,0.002353,489.650000,27.550000,0.200000,0.541516,0.011688
H2S,Suleimenov 1994,489.450000,216.300000,27.870000,2.042400,0.002475,0.002398,489.650000,27.550000,0.200000,1.148188,0.006721
H2S,Suleimenov 1994,593.950000,320.800000,137.860000,0.488200,0.015358,0.014664,594.150000,138.610000,0.200000,0.544030,0.041135
H2S,Suleimenov 1994,593.650000,320.500000,137.380000,0.887900,0.015358,0.013171,594.150000,138.610000,0.500000,0.895327,0.075139
H2S,Suleimenov 1994,593.750000,320.600000,137.210000,1.224000,0.015358,0.012419,594.150000,138.610000,0.400000,1.020334,0.075366
H2S,Suleimenov 1994,593.650000,320.500000,137.540000,1.515700,0.015358,0.011798,594.150000,138.610000,0.500000,0.777956,0.075560
H2S,Suleimenov 1994,593.550000,320.400000,137.900000,1.765200,0.015358,0.011489,594.150000,138.610000,0.600000,0.514866,0.071410
H2S,Suleimenov 1994,593.550000,320.400000,138.420000,1.980300,0.015358,0.011404,594.150000,138.610000,0.600000,0.137263,0.065282
H2S,Barrett 1988,299.150000,26.000000,1.013250,1.000000,0.001781,0.001470,299.650000,1.013250,0.500000,0.000000,0.083347
H2S,Barrett 1988,299.150000,26.000000,1.013250,1.000000,0.001781,0.001481,299.650000,1.013250,0.500000,0.000000,0.080109
H2S,Barrett 1988,299.150000,26.000000,1.013250,1.000000,0.001781,0.001479,299.650000,1.013250,0.500000,0.000000,0.080696
H2S,Barrett 1988,299.150000,26.000000,1.013250,1.000000,0.001781,0.001490,299.650000,1.013250,0.500000,0.000000,0.077478
H2S,Barrett 1988,300.650000,27.500000,1.013250,1.000000,0.001654,0.001436,300.650000,1.013250,0.000000,0.000000,0.061381
H2S,Barrett 1988,300.650000,27.500000,1.013250,1.000000,0.001654,0.001464,300.650000,1.013250,0.000000,0.000000,0.052994
H2S,Barrett 1988,300.650000,27.500000,1.013250,1.000000,0.001654,0.001437,300.650000,1.013250,0.000000,0.000000,0.061079
H2S,Barrett 1988,334.150000,61.000000,1.013250,1.000000,0.000750,0.000653,334.150000,1.013250,0.000000,0.000000,0.060148
H2S,Barrett 1988,334.150000,61.000000,1.013250,1.000000,0.000750,0.000662,334.150000,1.013250,0.000000,0.000000,0.054203
H2S,Barrett 1988,333.650000,60.500000,1.013250,1.000000,0.000850,0.000568,333.150000,1.013250,0.500000,0.000000,0.175071
H2S,Barrett 1988,333.650000,60.500000,1.013250,1.000000,0.000850,0.000660,333.150000,1.013250,0.500000,0.000000,0.109875
H2S,Barrett 1988,334.150000,61.000000,1.013250,1.000000,0.000750,0.000672,334.150000,1.013250,0.000000,0.000000,0.047692
H2S,Barrett 1988,333.650000,60.500000,1.013250,1.000000,0.000850,0.000588,333.150000,1.013250,0.500000,0.000000,0.160042
H2S,Barrett 1988,333.650000,60.500000,1.013250,1.000000,0.000850,0.000695,333.150000,1.013250,0.500000,0.000000,0.087434
H2S,Barrett 1988,333.650000,60.500000,1.013250,1.000000,0.000850,0.000660,333.150000,1.013250,0.500000,0.000000,0.109875
H2S,Barrett 1988,333.650000,60.500000,1.013250,1.000000,0.000850,0.000689,333.150000,1.013250,0.500000,0.000000,0.091200
H2S,Barrett 1988,333.650000,60.500000,1.013250,1.000000,0.000850,0.000665,333.150000,1.013250,0.500000,0.000000,0.106597
H2S,Barrett 1988,352.150000,79.000000,1.013250,1.000000,0.000410,0.000356,354.150000,1.013250,2.000000,0.000000,0.061334
H2S,Barrett 1988,352.150000,79.000000,1.013250,1.000000,0.000410,0.000352,354.150000,1.013250,2.000000,0.000000,0.066241
H2S,Barrett 1988,353.150000,80.000000,1.013250,1.000000,0.000410,0.000351,354.150000,1.013250,1.000000,0.000000,0.067477
H2S,Barrett 1988,353.150000,80.000000,1.013250,1.000000,0.000410,0.000357,354.150000,1.013250,1.000000,0.000000,0.060116
H2S,Barrett 1988,353.150000,80.000000,1.013250,1.000000,0.000410,0.000325,354.150000,1.013250,1.000000,0.000000,0.100900
H2S,Barrett 1988,353.150000,80.000000,1.013250,1.000000,0.000410,0.000316,354.150000,1.013250,1.000000,0.000000,0.113097
H2S,Barrett 1988,353.150000,80.000000,1.013250,1.000000,0.000410,0.000337,354.150000,1.013250,1.000000,0.000000,0.085154
H2S,Barrett 1988,353.150000,80.000000,1.013250,1.000000,0.000410,0.000336,354.150000,1.013250,1.000000,0.000000,0.086445
H2S,Barrett 1988,353.150000,80.000000,1.013250,1.000000,0.000410,0.000372,354.150000,1.013250,1.000000,0.000000,0.042241
H2S,Barrett 1988,353.150000,80.000000,1.013250,1.000000,0.000410,0.000392,354.150000,1.013250,1.000000,0.000000,0.019498
H2S,Barrett 1988,368.150000,95.000000,1.013250,1.000000,0.000169,0.000143,367.650000,1.013250,0.500000,0.000000,0.072551
H2S,Barrett 1988,368.150000,95.000000,1.013250,1.000000,0.000169,0.000151,367.650000,1.013250,0.500000,0.000000,0.048910
H2S,Barrett 1988,368.150000,95.000000,1.013250,1.000000,0.000169,0.000149,367.650000,1.013250,0.500000,0.000000,0.054700
H2S,Barrett 1988,368.150000,95.000000,1.013250,1.000000,0.000169,0.000151,367.650000,1.013250,0.500000,0.000000,0.048910
H2S,Barrett 1988,299.650000,26.500000,1.013250,2.000000,0.001781,0.001199,299.650000,1.013250,0.000000,0.000000,0.085922
H2S,Barrett 1988,299.650000,26.500000,1.013250,2.000000,0.001781,0.001254,299.650000,1.013250,0.000000,0.000000,0.076183
H2S,Barrett 1988,299.650000,26.500000,1.013250,2.000000,0.001781,0.001239,299.650000,1.013250,0.000000,0.000000,0.078796
H2S,Barrett 1988,299.650000,26.500000,1.013250,2.000000,0.001781,0.001252,299.650000,1.013250,0.000000,0.000000,0.076530
H2S,Barrett 1988,299.150000,26.000000,1.013250,2.000000,0.001781,0.001222,299.650000,1.013250,0.500000,0.000000,0.081796
H2S,Barrett 1988,299.150000,26.000000,1.013250,2.000000,0.001781,0.001273,299.650000,1.013250,0.500000,0.000000,0.072918
H2S,Barrett 1988,332.650000,59.500000,1.013250,2.000000,0.000850,0.000576,333.150000,1.013250,0.500000,0.000000,0.084498
H2S,Barrett 1988,332.650000,59.500000,1.013250,2.000000,0.000850,0.000578,333.150000,1.013250,0.500000,0.000000,0.083746
H2S,Barrett 1988,333.150000,60.000000,1.013250,2.000000,0.000850,0.000564,333.150000,1.013250,0.000000,0.000000,0.089070
H2S,Barrett 1988,333.150000,60.000000,1.013250,2.000000,0.000850,0.000564,333.150000,1.013250,0.000000,0.000000,0.089070
H2S,Barrett 1988,353.150000,80.000000,1.013250,2.000000,0.000410,0.000308,354.150000,1.013250,1.000000,0.000000,0.062117
H2S,Barrett 1988,353.150000,80.000000,1.013250,2.000000,0.000410,0.000300,354.150000,1.013250,1.000000,0.000000,0.067831
H2S,Barrett 1988,353.150000,80.000000,1.013250,2.000000,0.000410,0.000310,354.150000,1.013250,1.000000,0.000000,0.060711
H2S,Barrett 1988,353.150000,80.000000,1.013250,2.000000,0.000410,0.000311,354.150000,1.013250,1.000000,0.000000,0.060012
H2S,Barrett 1988,353.150000,80.000000,1.013250,2.000000,0.000410,0.000313,354.150000,1.013250,1.000000,0.000000,0.058620
H2S,Barrett 1988,353.150000,80.000000,1.013250,2.000000,0.000410,0.000314,354.150000,1.013250,1.000000,0.000000,0.057927
H2S,Barrett 1988,353.150000,80.000000,1.013250,2.000000,0.000410,0.000307,354.150000,1.013250,1.000000,0.000000,0.062823
H2S,Barrett 1988,368.150000,95.000000,1.013250,2.000000,0.000169,0.000145,367.650000,1.013250,0.500000,0.000000,0.033259
H2S,Barrett 1988,368.150000,95.000000,1.013250,2.000000,0.000169,0.000140,367.650000,1.013250,0.500000,0.000000,0.040879
H2S,Barrett 1988,368.150000,95.000000,1.013250,2.000000,0.000169,0.000142,367.650000,1.013250,0.500000,0.000000,0.037799
H2S,Barrett 1988,369.150000,96.000000,1.013250,2.000000,0.000169,0.000135,367.650000,1.013250,1.500000,0.000000,0.048776
H2S,Barrett 1988,369.150000,96.000000,1.013250,2.000000,0.000169,0.000128,367.650000,1.013250,1.500000,0.000000,0.060338
H2S,Barrett 1988,301.150000,28.000000,1.013250,3.000000,0.001654,0.001040,300.650000,1.013250,0.500000,0.000000,0.067167
H2S,Barrett 1988,302.150000,29.000000,1.013250,3.000000,0.001654,0.001054,300.650000,1.013250,1.500000,0.000000,0.065232
H2S,Barrett 1988,302.150000,29.000000,1.013250,3.000000,0.001654,0.001042,300.650000,1.013250,1.500000,0.000000,0.066889
H2S,Barrett 1988,302.150000,29.000000,1.013250,3.000000,0.001654,0.001027,300.650000,1.013250,1.500000,0.000000,0.068988
H2S,Barrett 1988,302.150000,29.000000,1.013250,3.000000,0.001654,0.001032,300.650000,1.013250,1.500000,0.000000,0.068285
H2S,Barrett 1988,299.150000,26.000000,1.013250,3.000000,0.001781,0.001033,299.650000,1.013250,0.500000,0.000000,0.078855
H2S,Barrett 1988,299.150000,26.000000,1.013250,3.000000,0.001781,0.001095,299.650000,1.013250,0.500000,0.000000,0.070417
H2S,Barrett 1988,298.150000,25.000000,1.013250,3.000000,0.001599,0.001041,298.150000,1.013250,0.000000,0.000000,0.062133
H2S,Barrett 1988,298.150000,25.000000,1.013250,3.000000,0.001599,0.001053,298.150000,1.013250,0.000000,0.000000,0.060473
H2S,Barrett 1988,297.650000,24.500000,1.013250,3.000000,0.001814,0.001136,297.150000,1.013250,0.500000,0.000000,0.067753
H2S,Barrett 1988,297.650000,24.500000,1.013250,3.000000,0.001814,0.001130,297.150000,1.013250,0.500000,0.000000,0.068520
H2S,Barrett 1988,297.150000,24.000000,1.013250,3.000000,0.001814,0.001139,297.150000,1.013250,0.000000,0.000000,0.067371
H2S,Barrett 1988,297.150000,24.000000,1.013250,3.000000,0.001814,0.001135,297.150000,1.013250,0.000000,0.000000,0.067880
H2S,Barrett 1988,297.150000,24.000000,1.013250,3.000000,0.001814,0.001142,297.150000,1.013250,0.000000,0.000000,0.066990
H2S,Barrett 1988,297.150000,24.000000,1.013250,3.000000,0.001814,0.001139,297.150000,1.013250,0.000000,0.000000,0.067371
H2S,Barrett 1988,333.150000,60.000000,1.013250,3.000000,0.000850,0.000536,333.150000,1.013250,0.000000,0.000000,0.066751
H2S,Barrett 1988,333.150000,60.000000,1.013250,3.000000,0.000850,0.000477,333.150000,1.013250,0.000000,0.000000,0.083634
H2S,Barrett 1988,333.150000,60.000000,1.013250,3.000000,0.000850,0.000487,333.150000,1.013250,0.000000,0.000000,0.080630
H2S,Barrett 1988,333.150000,60.000000,1.013250,3.000000,0.000850,0.000485,333.150000,1.013250,0.000000,0.000000,0.081226
H2S,Barrett 1988,333.150000,60.000000,1.013250,3.000000,0.000850,0.000491,333.150000,1.013250,0.000000,0.000000,0.079446
H2S,Barrett 1988,368.150000,95.000000,1.013250,3.000000,0.000169,0.000129,367.650000,1.013250,0.500000,0.000000,0.039099
H2S,Barrett 1988,368.150000,95.000000,1.013250,3.000000,0.000169,0.000126,367.650000,1.013250,0.500000,0.000000,0.042505
H2S,Barrett 1988,367.650000,94.500000,1.013250,3.000000,0.000169,0.000147,367.650000,1.013250,0.000000,0.000000,0.020190
H2S,Barrett 1988,367.650000,94.500000,1.013250,3.000000,0.000169,0.000132,367.650000,1.013250,0.000000,0.000000,0.035771
H2S,Barrett 1988,368.150000,95.000000,1.013250,3.000000,0.000169,0.000132,367.650000,1.013250,0.500000,0.000000,0.035771
